"","V1"
"2008-03.csv",5
"2008-04.csv",13
"2008-05.csv",4
"2008-06.csv",5
"2008-07.csv",13
"2008-08.csv",13
"2008-09.csv",4
"2008-10.csv",13
"2008-11.csv",4
"2008-12.csv",13
"2009-01.csv",13
"2009-02.csv",4
"2009-03.csv",9
"2009-04.csv",13
"2009-05.csv",4
"2009-06.csv",9
"2009-07.csv",9
"2009-08.csv",9
"2009-09.csv",9
"2009-10.csv",9
"2009-11.csv",9
"2009-12.csv",9
"2010-01.csv",9
"2010-02.csv",9
"2010-03.csv",9
"2010-04.csv",9
"2010-05.csv",9
"2010-06.csv",9
"2010-07.csv",4
"2010-08.csv",4
"2010-09.csv",9
"2010-10.csv",9
"2010-11.csv",13
"2010-12.csv",9
"2011-01.csv",13
"2011-02.csv",13
"2011-03.csv",13
"2011-04.csv",13
"2011-05.csv",13
"2011-06.csv",4
"2011-07.csv",13
"2011-08.csv",13
"2011-09.csv",13
"2011-10.csv",13
"2011-11.csv",13
"2011-12.csv",13
"2012-01.csv",13
"2012-02.csv",13
"2012-03.csv",13
"2012-04.csv",13
"2012-05.csv",13
"2012-06.csv",13
"2012-07.csv",13
"2012-08.csv",13
"2012-09.csv",13
"2012-10.csv",13
"2012-11.csv",4
"2012-12.csv",4
"2013-01.csv",13
"2013-02.csv",13
"2013-03.csv",13
"2013-04.csv",13
"2013-05.csv",13
"2013-06.csv",13
"2013-07.csv",13
"2013-08.csv",13
"2013-09.csv",13
"2013-10.csv",13
"2013-11.csv",13
"2013-12.csv",13
"2014-01.csv",13
"2014-02.csv",13
"2014-03.csv",13
"2014-04.csv",13
"2014-05.csv",13
"2014-06.csv",13
"2014-07.csv",13
"2014-08.csv",13
"2014-09.csv",13
"2014-10.csv",4
"2014-11.csv",13
"2014-12.csv",13
"2015_12.csv",13
"2015-01.csv",13
"2015-02.csv",13
"2015-03.csv",13
"2015-04.csv",13
"2015-05.csv",13
"2015-06.csv",13
"2015-07.csv",13
"2015-08.csv",13
"2015-09.csv",13
"2015-10.csv",13
"2015-11.csv",13
"2016-01.csv",13
"2016-02.csv",13
"2016-03.csv",13
"2016-04.csv",13
"2016-05.csv",13
"2016-06.csv",4
"2016-07.csv",13
"2016-08.csv",13
"2016-09.csv",13
"2016-10.csv",13
"2016-11.csv",13
"2016-12.csv",13
"2017-01.csv",13
"2017-02.csv",13
"2017-03.csv",4
"2017-04.csv",13
"2017-05.csv",2
"2017-06.csv",13
"2017-07.csv",4
