"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","vote","faction","need","plex","cerberus","allianc","apith","sign","accel","ship","time","nerf","skill","issu","jump"
"2","player","stand","time","item","amno","need","prece","damag","mechanicth","support","cloak","nano","time","vote","actual"
"3","candid","mission","corp","buy","again","player","gooon","bonus","privat","bonus","chang","allianc","way","need","chang"
"4","issu","player","ship","isk","alreadyth","see","abov","mission","agoth","need","player","mission","see","time","troll"
"5","new","corp","way","charact","miningth","know","yous","caldari","int","damag","ship","capit","thing","see","bridg"
"6","good","loot","new","player","buttan","time","colid","alreadi","provi","rang","need","skill","need","take","sov"
"7","question","agent","see","incarna","rangeth","chang","fenix","drone","boringth","time","local","good","say","post","allianc"
"8","know","need","chang","new","nufr","say","krell","need","succ","fit","activ","actual","know","thread","time"
"9","see","space","titan","pay","patrool","name","ree","support","ari","propos","take","chang","new","thing","blob"
"10","chang","gank","sec","money","players","well","gaterau","chang","suic","use","afk","corp","realli","way","fight"
"11","thing","npc","player","cosmet","contain","thing","othermayb","know","bjoern","drone","mine","queue","point","say","now"
"12","communiti","chang","thing","play","ati","now","twelcom","better","arzi","mission","space","forum","now","meet","good"
"13","time","high","pvp","remap","effectiv","good","alli","cant","communitythat","tank","way","agre","make","well","need"
"14","member","ship","make","station","lefti","new","changesth","give","detract","way","see","ask","train","allianc","new"
"15","year","time","mine","give","possibleth","particip","collat","get","flip","see","thing","ghost","buy","sign","space"
